"Tabela 6064 - Percentual de escolares frequentando o 9º ano do ensino fundamental que receberam orientação, na escola, sobre AIDS ou outras Doenças Sexualmente Transmissíveis (DST), por sexo e dependência administrativa da escola"
"Variável - Percentual de escolares frequentando o 9º ano do ensino fundamental que receberam orientação, na escola, sobre AIDS ou outras Doenças Sexualmente Transmissíveis (DST) (%)"
"Nível";"Cód.";"Brasil, Capital/não capital de Unidade da Federação, Grande Região, Unidade da Federação e Município";"Dependência administrativa da escola";"Ano x Sexo"
"Nível";"Cód.";"Brasil, Capital/não capital de Unidade da Federação, Grande Região, Unidade da Federação e Município";"Dependência administrativa da escola";"2015"
"Nível";"Cód.";"Brasil, Capital/não capital de Unidade da Federação, Grande Região, Unidade da Federação e Município";"Dependência administrativa da escola";"Total";"Masculino";"Feminino"
"BR";"1";"Brasil";"Total";"87,3";"86,2";"88,4"
"BR";"1";"Brasil";"Pública";"87,3";"85,9";"88,5"
"BR";"1";"Brasil";"Privada";"87,6";"87,9";"87,3"
"GR";"1";"Norte";"Total";"85,9";"85,0";"86,8"
"GR";"1";"Norte";"Pública";"85,8";"84,7";"86,8"
"GR";"1";"Norte";"Privada";"87,5";"88,3";"86,7"
"GR";"2";"Nordeste";"Total";"85,8";"84,9";"86,5"
"GR";"2";"Nordeste";"Pública";"85,7";"84,4";"86,8"
"GR";"2";"Nordeste";"Privada";"86,2";"87,7";"84,8"
"GR";"3";"Sudeste";"Total";"88,0";"86,7";"89,3"
"GR";"3";"Sudeste";"Pública";"87,9";"86,4";"89,3"
"GR";"3";"Sudeste";"Privada";"88,7";"88,1";"89,3"
"GR";"4";"Sul";"Total";"88,7";"87,7";"89,6"
"GR";"4";"Sul";"Pública";"89,2";"87,9";"90,4"
"GR";"4";"Sul";"Privada";"84,4";"86,2";"82,7"
"GR";"5";"Centro-Oeste";"Total";"88,5";"86,7";"90,3"
"GR";"5";"Centro-Oeste";"Pública";"88,4";"86,3";"90,4"
"GR";"5";"Centro-Oeste";"Privada";"89,3";"88,8";"89,7"
"UF";"11";"Rondônia";"Total";"88,8";"88,0";"89,5"
"UF";"11";"Rondônia";"Pública";"88,8";"87,8";"89,8"
"UF";"11";"Rondônia";"Privada";"88,5";"91,0";"86,4"
"UF";"12";"Acre";"Total";"90,9";"90,0";"91,8"
"UF";"12";"Acre";"Pública";"90,9";"90,2";"91,7"
"UF";"12";"Acre";"Privada";"90,4";"87,7";"92,8"
"UF";"13";"Amazonas";"Total";"87,4";"86,8";"87,9"
"UF";"13";"Amazonas";"Pública";"87,5";"86,9";"88,1"
"UF";"13";"Amazonas";"Privada";"85,6";"85,8";"85,4"
"UF";"14";"Roraima";"Total";"84,0";"82,8";"85,3"
"UF";"14";"Roraima";"Pública";"84,4";"83,2";"85,6"
"UF";"14";"Roraima";"Privada";"78,4";"77,9";"79,0"
"UF";"15";"Pará";"Total";"84,0";"83,2";"84,7"
"UF";"15";"Pará";"Pública";"83,4";"82,3";"84,5"
"UF";"15";"Pará";"Privada";"88,7";"90,2";"87,1"
"UF";"16";"Amapá";"Total";"85,0";"83,8";"86,1"
